dataset,total_epochs,T,s,split_point,val_fraction,method,n_seeds,avg_last10_tm_accuracy_mean,avg_last10_tm_accuracy_std,avg_tm_epoch_time_s_mean,avg_tm_epoch_time_s_std,avg_last10_tm_test_time_s_mean,avg_last10_tm_test_time_s_std,total_train_time_s_mean,total_train_time_s_std
MNIST,500,25,4.0,0.3,0.1,UTM,5,91.2106,0.0818,0.416,0.0019,0.0673,0.002,208.0,0.94
MNIST,500,25,4.0,0.3,0.1,WTM,5,93.5442,0.2535,0.2118,0.0006,0.0611,0.0025,105.88,0.32
MNIST,500,25,4.0,0.3,0.1,WTM-NN,5,95.9908,0.1715,0.2167,0.0008,0.0602,0.0019,99.95,1.45
MNIST,500,25,4.0,0.3,0.1,UTM-NN,5,92.7764,0.1129,0.414,0.0019,0.0654,0.0018,129.58,1.27
